français#@#sa tête#@#2037#@#105#@#160#@#31;pije#@#ga-n#@#2047#@#870#@#91#@#30;fwâi#@#ga-n#@#2045#@#1391#@#93#@#32;nemi 1 (Temala)#@#bwa-n#@#2035#@#1914#@#117#@#33;nemi 2 (côte est)#@#bwa-n#@#2038#@#2438#@#117#@#33;jawe#@#bwa-n#@#2038#@#2962#@#117#@#33;64
français#@#son crâne (sec)#@#2109#@#105#@#346#@#36;pije#@#piin-ga-n#@#2109#@#870#@#209#@#40;fwâi#@#piin-ga-n#@#2109#@#1391#@#211#@#39;nemi 1 (Temala)#@#piin-bwa-n#@#2107#@#1913#@#237#@#40;nemi 2 (côte est)#@#piin-bwa-n#@#2110#@#2437#@#235#@#39;jawe#@#piin-bwa-n#@#2111#@#2961#@#236#@#38;64
français#@#son occiput#@#2181#@#104#@#255#@#39;pije#@#pwiye-ga-n (T)#@#2178#@#867#@#324#@#43;fwâi#@#pwiye-ga-n#@#2179#@#1390#@#235#@#42;nemi 1 (Temala)#@#pwiye-bwa-n#@#2181#@#1913#@#257#@#39;nemi 2 (côte est)#@#pwiye-bwa-n#@#2182#@#2437#@#258#@#39;jawe#@#pwiwii-n#@#2184#@#2961#@#187#@#38;64
français#@#le sommet du crâne#@#2253#@#104#@#422#@#33;pije#@#min-ga-n (T)#@#2253#@#866#@#276#@#40;fwâi#@#min-ga-n#@#2254#@#1391#@#188#@#41;jawe#@#nenee-n#@#2264#@#2958#@#164#@#25;64
français#@#sa fontanelle#@#2326#@#101#@#304#@#30;pije#@#hwan-hula-n#@#2325#@#866#@#257#@#33;fwâi#@#hwan-hule-n#@#2325#@#1387#@#259#@#33;nemi 1 (Temala)#@#hwan-hule-n#@#2326#@#1911#@#258#@#33;nemi 2 (côte est)#@#hwan-ule-n#@#2329#@#2434#@#235#@#33;jawe#@#hwan-ule-n (W)#@#2329#@#2958#@#324#@#36;64
français#@#cervelle, sa cervelle#@#2398#@#98#@#498#@#38;pije#@#hyagic, hyagiya-n (T) hyagic, hyagie-n#@#2394#@#863#@#900#@#43;nemi 1 (Temala)#@#hyagic, hyagie-n#@#2398#@#1908#@#378#@#39;nemi 2 (côte est)#@#hyagic, hyagie-n#@#2401#@#2432#@#377#@#40;jawe#@#hyagic, hyagie-n#@#2402#@#2957#@#379#@#41;64
français#@#ses cheveux#@#2470#@#99#@#255#@#29;pije#@#pun-ga-n#@#2477#@#863#@#186#@#32;fwâi#@#pun-ga-n#@#2477#@#1385#@#186#@#32;nemi 1 (Temala)#@#pun-bwa-n#@#2469#@#1908#@#212#@#37;nemi 2 (côte est)#@#pun-bwa-n#@#2473#@#2432#@#209#@#38;jawe#@#pun-bwa-n#@#2474#@#2957#@#210#@#38;64
français#@#mèche sur le front, huppe#@#2541#@#92#@#598#@#40;fwâi#@#bwili, bwilii-n#@#2539#@#1384#@#353#@#34;nemi 1 (Temala)#@#buili, bwilii-n#@#2540#@#1907#@#354#@#35;nemi 2 (côte est)#@#bwili, bwilii-n#@#2544#@#2430#@#354#@#34;jawe#@#bwili, bwilii-n#@#2546#@#2954#@#356#@#34;pije#@#(O)#@#2587#@#1126#@#56#@#36;64
français#@#grisonnant, à cheveux gris#@#2659#@#95#@#614#@#42;pije#@#mapwiik#@#2660#@#858#@#160#@#39;fwâi#@#mapwiik#@#2660#@#1381#@#162#@#39;nemi 1 (Temala)#@#mapwiik#@#2663#@#1904#@#163#@#38;nemi 2 (côte est)#@#mapwiik#@#2666#@#2428#@#162#@#38;jawe#@#mapwiik#@#2669#@#2952#@#163#@#37;64
français#@#cheveux blancs#@#2734#@#92#@#329#@#30;pije#@#pwiik#@#2732#@#857#@#114#@#39;fwâi#@#pwiik#@#2734#@#1381#@#114#@#39;nemi 1 (Temala)#@#pwiik#@#2735#@#1904#@#114#@#39;nemi 2 (côte est)#@#pwiik#@#2739#@#2428#@#113#@#39;jawe#@#pwiik#@#2742#@#2952#@#114#@#39;64
français#@#rouquin#@#2791#@#92#@#160#@#35;pije#@#koloot#@#2791#@#860#@#134#@#32;fwâi#@#koloot#@#2794#@#1383#@#134#@#32;64
français#@#albinos#@#508#@#269#@#165#@#34;pije#@#kKoopulo#@#501#@#1047#@#166#@#41;fwâi#@#koovulo#@#498#@#1580#@#164#@#35;nemi 1 (Temala)#@#koopulo#@#492#@#2113#@#164#@#42;nemi 2 (côte est)#@#koovulo#@#488#@#2646#@#164#@#35;jawe#@#koovulo#@#484#@#3177#@#164#@#35;65
français#@#chauve#@#586#@#271#@#141#@#29;pije#@#tha (T) hwata (O)#@#576#@#1049#@#211#@#82;fwâi#@#tha#@#575#@#1581#@#68#@#31;nemi 1 (Temala)#@#tha#@#570#@#2114#@#68#@#33;nemi 2 (côte est)#@#tha#@#565#@#2647#@#66#@#33;jawe#@#tha#@#560#@#3179#@#66#@#33;65
français#@#son front#@#706#@#274#@#211#@#29;pije#@#gaadaa-n#@#698#@#1050#@#192#@#39;fwâi#@#gaadaa-n#@#694#@#1583#@#190#@#42;nemi 1 (Temala)#@#gaadaa-n#@#690#@#2114#@#192#@#43;nemi 2 (côte est)#@#gaadaa-n#@#685#@#2647#@#190#@#42;jawe#@#gaadek, gaadexe-n#@#681#@#3180#@#408#@#42;65
français#@#sa tempe#@#783#@#276#@#188#@#31;pije#@#thalaa-n#@#769#@#1053#@#190#@#33;fwâi#@#thalaa-n#@#768#@#1584#@#190#@#33;nemi 1 (Temala)#@#thalaa-n#@#763#@#2116#@#190#@#35;nemi 2 (côte est)#@#thalaa-n#@#759#@#2650#@#189#@#33;jawe#@#jere-bua-n#@#755#@#3186#@#233#@#40;65
français#@#sa face, son visage#@#847#@#278#@#456#@#42;pije#@#kalemaa-n (T) karemaa-n (O)#@#841#@#1054#@#306#@#84;fwâi#@#karemaa-n#@#841#@#1587#@#213#@#35;nemi 1 (Temala)#@#maarn#@#847#@#2117#@#120#@#26;nemi 2 (côte est)#@#karemaa-n#@#832#@#2651#@#215#@#36;jawe#@#karemae-n#@#828#@#3184#@#214#@#38;65
français#@#oreille, son oreille#@#969#@#278#@#481#@#42;pije#@#jeena, jeena-n#@#966#@#1061#@#332#@#39;fwâi#@#jeena, jeene-n#@#962#@#1594#@#330#@#42;nemi 1 (Temala)#@#jeena, jeene-n#@#959#@#2126#@#330#@#43;nemi 2 (côte est)#@#jeena, jeene-n#@#956#@#2659#@#330#@#41;jawe#@#jeena, jeene-n#@#952#@#3190#@#331#@#42;65
français#@#son pavillon d'oreille#@#1041#@#281#@#528#@#43;pije#@#doonjeena-n#@#1038#@#1054#@#291#@#41;fwâi#@#doonjeene-n#@#1037#@#1587#@#290#@#40;nemi 1 (Temala)#@#doonjeene-n#@#1034#@#2120#@#290#@#40;nemi 2 (côte est)#@#doonjeene-n#@#1030#@#2653#@#288#@#40;jawe#@#doon-jeene-n#@#1028#@#3184#@#288#@#39;65
français#@#son trou d'oreille#@#1116#@#282#@#431#@#32;pije#@#hwanjeena-n#@#1113#@#1060#@#287#@#38;fwâi#@#hwanjeene-n#@#1113#@#1591#@#287#@#38;nemi 1 (Temala)#@#hwanjeene-n#@#1109#@#2123#@#288#@#39;nemi 2 (côte est)#@#hwan-jeene-n#@#1106#@#2657#@#285#@#39;jawe#@#huan-jeene-n#@#1103#@#3189#@#286#@#39;65
français#@#son lobe d'oreille#@#1187#@#284#@#432#@#36;fwâi#@#coonjeene-n || (O) (error)#@#1185#@#1594#@#286#@#41;nemi 1 (Temala)#@#coonjeene-n#@#1181#@#2126#@#286#@#42;nemi 2 (côte est)#@#coonjeene-n#@#1174#@#2659#@#286#@#48;jawe#@#coonjeene-n#@#1175#@#3191#@#286#@#42;65
français#@#son arcade sourcilière#@#1308#@#287#@#528#@#34;pije#@#gan-thämaa-n#@#1306#@#1063#@#288#@#41;fwâi#@#gan-thämaa-n#@#1306#@#1596#@#286#@#41;nemi 1 (Temala)#@#bwan-tnan-maa-n#@#1305#@#2126#@#361#@#33;nemi 2 (côte est)#@#buan-tnamaa-n#@#1302#@#2659#@#311#@#32;jawe#@#bwan-thivaen (Y) bwaxire-thivae-n (W)#@#1297#@#3190#@#475#@#87;65
français#@#oeil, son oeil#@#1429#@#287#@#334#@#39;pije#@#thâmaa-n#@#1427#@#1066#@#190#@#33;fwâi#@#thämaa-n#@#1427#@#1597#@#189#@#33;nemi 1 (Temala)#@#tnan-maa-n#@#1431#@#2130#@#238#@#29;nemi 2 (côte est)#@#tnamaa-n#@#1427#@#2663#@#187#@#29;jawe#@#thivae-n#@#1423#@#3195#@#188#@#32;65
français#@#pupille de l'oeil#@#1499#@#288#@#408#@#43;pije#@#kahyuk Le#@#1492#@#1069#@#484#@#51;fwâi#@#hyan-thâämaa-n#@#1501#@#1604#@#309#@#39;nemi 2 (côte est)#@#pwen-dadeng#@#1496#@#2664#@#261#@#41;jawe#@#pwen-dadeng#@#1496#@#3196#@#261#@#39;65
français#@#blanc de l'oeil#@#1570#@#288#@#360#@#34;pije#@#hulo Le thämaa-n (T)#@#1571#@#1067#@#476#@#36;fwâi#@#hulo Le thämaa-n#@#1573#@#1600#@#383#@#34;nemi 1 (Temala)#@#hna-pu lo#@#1569#@#2131#@#196#@#48;nemi 2 (côte est)#@#hna-pulo#@#1570#@#2666#@#189#@#40;jawe#@#hna-pulo#@#1568#@#3197#@#190#@#41;65
français#@#iris#@#1645#@#294#@#89#@#33;pije#@#vhiing Le thämaa-n (T) vhiing Le thämaa-n#@#1643#@#1070#@#964#@#45;nemi 1 (Temala)#@#hna-nyuup#@#1645#@#2133#@#216#@#40;nemi 2 (côte est)#@#hna-phom#@#1643#@#2667#@#190#@#40;jawe#@#hna-phom#@#1642#@#3199#@#190#@#40;65
français#@#globe de l'oeil#@#1714#@#292#@#359#@#43;pije#@#vhiye-thämaa-n (T)#@#1717#@#1071#@#425#@#39;fwâi#@#vhiye-thâämaa-n#@#1718#@#1603#@#336#@#39;nemi 1 (Temala)#@#fiye-tnamaa-n#@#1718#@#2136#@#310#@#40;nemi 2 (côte est)#@#fiye-tnamaa-n#@#1717#@#2669#@#309#@#40;jawe#@#buuve-thivaen#@#1715#@#3199#@#311#@#33;65
français#@#son nez#@#1796#@#295#@#163#@#21;pije#@#hwädi-n#@#1787#@#1073#@#166#@#33;fwâi#@#hwâdi-n#@#1789#@#1604#@#166#@#33;nemi 1 (Temala)#@#hwâädi-n#@#1790#@#2137#@#166#@#35;nemi 2 (côte est)#@#huâdi-n#@#1789#@#2670#@#164#@#33;jawe#@#huädi-n#@#1787#@#3202#@#165#@#35;65
français#@#les ailes de son nez#@#1859#@#298#@#478#@#30;pije#@#diiboon-hwädi-n (T)#@#1859#@#1073#@#451#@#35;fwâi#@#diiboon-hwädi-n#@#1862#@#1604#@#361#@#33;nemi 1 (Temala)#@#diiboon-hwädi-n#@#1863#@#2136#@#361#@#34;nemi 2 (côte est)#@#diiboon-hwädi-n#@#1861#@#2669#@#360#@#33;jawe#@#diboloon-hwädi-n (x) diiboon-hwädi-n (W)#@#1859#@#3200#@#476#@#85;65
français#@#sa joue#@#1977#@#299#@#165#@#39;pije#@#poaa-n#@#1987#@#1076#@#143#@#31;fwâi#@#posaa-n#@#1990#@#1609#@#141#@#31;nemi 1 (Temala)#@#pwaawaa-n#@#1993#@#2140#@#215#@#29;nemi 2 (côte est)#@#pwawaa-n#@#1990#@#2673#@#189#@#31;jawe#@#pwaa-n .#@#1979#@#3206#@#167#@#50;65
français#@#sa bouche#@#2052#@#302#@#214#@#32;pije#@#hwa-n#@#2054#@#1087#@#117#@#33;fwâi#@#hwa-n#@#2055#@#1617#@#120#@#32;nemi 1 (Temala)#@#hua-n#@#2056#@#2150#@#118#@#32;nemi 2 (côte est)#@#hua-n#@#2052#@#2683#@#118#@#33;jawe#@#hwa-n#@#2051#@#3215#@#118#@#31;65
français#@#ses lèvres#@#2123#@#302#@#237#@#30;pije#@#ciin-hwa-n#@#2124#@#1089#@#236#@#33;fwâi#@#ciin-hwa-n#@#2126#@#1620#@#238#@#33;nemi 1 (Temala)#@#doon-hwa-n#@#2127#@#2149#@#242#@#33;nemi 2 (côte est)#@#ciin-hwa-n#@#2123#@#2685#@#237#@#34;jawe#@#doon-hwa-n#@#2111#@#3215#@#239#@#45;65
français#@#sa dent#@#2196#@#304#@#164#@#32;pije#@#pae-hwa-n#@#2198#@#1092#@#213#@#39;fwâi#@#paa-hwa-n#@#2198#@#1623#@#213#@#40;nemi 1 (Temala)#@#paye-hwa-n#@#2199#@#2155#@#237#@#40;nemi 2 (côte est)#@#paioa-n#@#2196#@#2687#@#166#@#41;jawe#@#payoa-n#@#2203#@#3219#@#166#@#32;65
français#@#brèche-dent#@#2267#@#303#@#266#@#30;pije#@#fwado#@#2270#@#1093#@#115#@#33;fwâi#@#fwado#@#2271#@#1625#@#116#@#33;nemi 1 (Temala)#@#hwado#@#2272#@#2156#@#118#@#35;nemi 2 (côte est)#@#hwado#@#2270#@#2689#@#117#@#33;jawe#@#hwado#@#2268#@#3220#@#117#@#33;65
français#@#sa langue#@#2339#@#307#@#214#@#42;pije#@#kuvehma-n#@#2340#@#1095#@#211#@#35;fwâi#@#kKuehma-n#@#2343#@#1626#@#189#@#35;nemi 1 (Temala)#@#kuvehma-n#@#2344#@#2157#@#215#@#35;nemi 2 (côte est)#@#kuvema-n#@#2343#@#2692#@#187#@#33;jawe#@#Kkuvema-n#@#2342#@#3215#@#197#@#53;65
français#@#sa luette#@#2412#@#307#@#214#@#32;pije#@#Ka-cila Le noo-n (T)#@#2412#@#1096#@#472#@#36;fwâi#@#ka-cila Le noo-n#@#2415#@#1627#@#383#@#36;nemi 1 (Temala)#@#ka-cila Le noo-n#@#2418#@#2159#@#385#@#35;nemi 2 (côte est)#@#ka-cila Le noo-n#@#2415#@#2693#@#382#@#35;jawe#@#ka-cila Le noo-n#@#2414#@#3225#@#383#@#34;65
français#@#son gosier, sa gorge#@#2481#@#310#@#481#@#44;pije#@#thoo-n (T)#@#2483#@#1097#@#231#@#37;fwâi#@#thoon-goo-n#@#2487#@#1629#@#261#@#42;nemi 2 (côte est)#@#thoon-goo-n#@#2488#@#2693#@#262#@#39;jawe#@#thoo-n (Y) thoon-goo-n (W)#@#2487#@#3225#@#354#@#88;65
français#@#sa pomme d'Adam#@#2599#@#311#@#357#@#42;pije#@#wWaan-uva 0 no0o-n#@#2614#@#1096#@#386#@#24;fwâi#@#(T) wâä-no0o-n#@#2605#@#1540#@#314#@#39;nemi 2 (côte est)#@#waan-uva © n00-n#@#2617#@#2693#@#386#@#24;65
français#@#son menton#@#2677#@#311#@#239#@#28;pije#@#pae-puhwa-n#@#2674#@#1099#@#262#@#42;fwâi#@#pae-puhwa-n#@#2679#@#1632#@#262#@#40;nemi 1 (Temala)#@#paye-puhwa-n#@#2681#@#2165#@#285#@#41;nemi 2 (côte est)#@#paye-puwa-n#@#2689#@#2696#@#262#@#31;jawe#@#paye-pua-n#@#2690#@#3229#@#238#@#32;65
français#@#sa barbe#@#2748#@#314#@#187#@#30;pije#@#puhwa-n#@#2749#@#1100#@#166#@#39;fwâi#@#puhwa-n#@#2753#@#1633#@#166#@#39;nemi 1 (Temala)#@#puhwa-n#@#2756#@#2166#@#166#@#41;nemi 2 (côte est)#@#puwa-n#@#2763#@#2699#@#140#@#32;jawe#@#pua-n#@#2765#@#3230#@#117#@#30;65
français#@#son cou#@#482#@#102#@#162#@#22;pije#@#noo-n#@#478#@#868#@#116#@#26;fwâi#@#noo-n#@#477#@#1388#@#117#@#27;nemi 1 (Temala)#@#noo-n#@#477#@#1913#@#115#@#26;nemi 2 (côte est)#@#noo-n#@#478#@#2438#@#116#@#26;jawe#@#noo-n#@#478#@#2964#@#117#@#25;66
français#@#sa nuque#@#554#@#102#@#185#@#31;pije#@#pue-n00o-n#@#553#@#868#@#211#@#29;fwâi#@#pue-n00o-n#@#552#@#1390#@#210#@#30;nemi 1 (Temala)#@#pue-noo-n#@#552#@#1913#@#211#@#30;nemi 2 (côte est)#@#puxe-no0o-n*+rpue-n0o-n pue-no0o-n#@#553#@#2438#@#739#@#29;66
français#@#ventre, son ventre#@#817#@#100#@#427#@#31;pije#@#jics jia-n#@#807#@#871#@#231#@#40;fwâi#@#jic, jie-n#@#805#@#1393#@#230#@#41;nemi 1 (Temala)#@#jic, jie-n#@#805#@#1917#@#230#@#41;nemi 2 (côte est)#@#jic, jie-n#@#807#@#2441#@#232#@#40;jawe#@#jice jie-n#@#808#@#2968#@#232#@#39;66
français#@#son dos, son envers#@#884#@#104#@#446#@#38;pije#@#dai-n#@#879#@#864#@#120#@#33;fwâi#@#dai-n#@#877#@#1387#@#118#@#33;nemi 1 (Temala)#@#dai-n#@#876#@#1910#@#119#@#33;nemi 2 (côte est)#@#dai-n#@#877#@#2435#@#119#@#35;jawe#@#jai-n#@#877#@#2967#@#112#@#41;66
français#@#son dos, sa colonne vertébrale (son 05)#@#955#@#102#@#618#@#82;pije#@#duu-n#@#951#@#866#@#118#@#33;fwâi#@#duu-n#@#951#@#1387#@#118#@#33;nemi 1 (Temala)#@#duu-n#@#949#@#1910#@#118#@#35;nemi 2 (côte est)#@#duu-n#@#951#@#2435#@#119#@#34;jawe#@#duu-n#@#951#@#2961#@#118#@#34;66
français#@#son côté, son flanc#@#1073#@#104#@#447#@#39;pije#@#jela-n#@#1072#@#874#@#134#@#39;fwâi#@#jele-n#@#1072#@#1394#@#136#@#37;nemi 1 (Temala)#@#jele-n#@#1069#@#1915#@#137#@#39;nemi 2 (côte est)#@#jele-n#@#1072#@#2441#@#137#@#37;jawe#@#jele-n#@#1072#@#2967#@#137#@#40;66
français#@#sa hanche#@#1148#@#104#@#207#@#29;pije#@#kudie-jia-n#@#1142#@#870#@#256#@#39;fwâi#@#pwege-n#@#1151#@#1390#@#163#@#32;nemi 1 (Temala)#@#pwege-n#@#1151#@#1913#@#164#@#30;nemi 2 (côte est)#@#pwege-n#@#1152#@#2438#@#163#@#31;jawe#@#pweje-n#@#1144#@#2963#@#165#@#39;66
français#@#son sternum#@#1224#@#104#@#258#@#26;pije#@#jabii-n (T)#@#1214#@#873#@#248#@#39;fwâi#@#jabii-n#@#1214#@#1394#@#159#@#39;nemi 1 (Temala)#@#jabii-n#@#1214#@#1915#@#162#@#39;nemi 2 (côte est)#@#jabii-n#@#1216#@#2443#@#158#@#38;jawe#@#jabii-n#@#1216#@#2967#@#160#@#39;66
français#@#ses côtes#@#1290#@#104#@#206#@#32;pije#@#Wâgee-n#@#1289#@#868#@#165#@#39;fwâi#@#wâgee-n#@#1288#@#1390#@#164#@#40;nemi 1 (Temala)#@#wâgee-n#@#1286#@#1911#@#166#@#41;nemi 2 (côte est)#@#wâgee-n#@#1289#@#2437#@#166#@#41;jawe#@#wâgee-n#@#1288#@#2961#@#167#@#42;66
français#@#sa poitrine (torse)#@#1361#@#104#@#443#@#41;pije#@#bwaanga-n#@#1358#@#868#@#211#@#42;fwâi#@#bwaange-n#@#1358#@#1390#@#212#@#41;nemi 1 (Temala)#@#bwaange-n#@#1357#@#1913#@#210#@#42;nemi 2 (côte est)#@#bwaange-n#@#1360#@#2437#@#212#@#39;jawe#@#bwaange-n#@#1360#@#2961#@#213#@#40;66
français#@#son sein#@#1436#@#105#@#186#@#32;pije#@#this thi-n#@#1433#@#871#@#232#@#33;fwâi#@#thi, thi-n#@#1432#@#1391#@#234#@#34;nemi 1 (Temala)#@#thi, thi-n#@#1430#@#1914#@#235#@#36;nemi 2 (côte est)#@#this thi-n#@#1433#@#2440#@#233#@#35;jawe#@#this thi-n#@#1433#@#2964#@#236#@#35;66
français#@#son nombril#@#1508#@#104#@#256#@#32;pije#@#hwan-guya-n (T) hwan-guan (O)#@#1504#@#870#@#346#@#88;fwâi#@#hwan-guye-n#@#1504#@#1390#@#258#@#40;nemi 1 (Temala)#@#hwan-guye-n#@#1504#@#1914#@#259#@#40;nemi 2 (côte est)#@#hwan-guye-n#@#1507#@#2438#@#260#@#39;jawe#@#hwan-gule-n#@#1505#@#2964#@#259#@#41;66
français#@#son cordon ombilical#@#1628#@#105#@#471#@#31;pije#@#guloo-n || (T) (error)#@#1625#@#868#@#165#@#40;fwâi#@#guloo-n#@#1625#@#1390#@#164#@#39;nemi 1 (Temala)#@#guloo-n#@#1623#@#1913#@#164#@#41;nemi 2 (côte est)#@#gulLoo-n#@#1626#@#2437#@#166#@#39;jawe#@#gute-n#@#1626#@#2962#@#142#@#39;66
français#@#ses viscères#@#1700#@#105#@#280#@#33;pije#@#hyanjia-n#@#1697#@#870#@#233#@#40;fwâi#@#hyanjie-n#@#1697#@#1391#@#235#@#40;nemi 1 (Temala)#@#hyan-jie-n#@#1697#@#1914#@#235#@#40;nemi 2 (côte est)#@#hyan-jie-n#@#1698#@#2438#@#235#@#41;jawe#@#hyan-jie-n#@#1698#@#2962#@#237#@#41;66
français#@#intestins, ses intestins#@#1772#@#107#@#566#@#39;pije#@#hoothä-n#@#1769#@#868#@#189#@#34;fwâi#@#hoorhè-n#@#1769#@#1391#@#186#@#33;nemi 1 (Temala)#@#hootne-n#@#1767#@#1914#@#187#@#34;nemi 2 (côte est)#@#hoona, hoone-n#@#1770#@#2440#@#330#@#33;jawe#@#hoonga, hoonge-n#@#1770#@#2962#@#381#@#41;66
français#@#son coeur#@#1857#@#107#@#206#@#23;pije#@#nyima-n#@#1844#@#868#@#165#@#39;fwâi#@#nyame-n#@#1852#@#1394#@#163#@#29;nemi 1 (Temala)#@#nyame-n#@#1851#@#1918#@#162#@#29;nemi 2 (côte est)#@#nyame-n#@#1852#@#2443#@#162#@#31;jawe#@#kao-n#@#1844#@#2964#@#115#@#34;66
français#@#ses poumons#@#1927#@#105#@#255#@#32;pije#@#ngan-suhmaa-n#@#1914#@#870#@#305#@#42;fwâi#@#ngen-suhmaa-n#@#1914#@#1391#@#306#@#39;nemi 1 (Temala)#@#ngen-suhmaa-n#@#1913#@#1914#@#307#@#42;nemi 2 (côte est)#@#ngen-sumaa-n#@#1924#@#2440#@#282#@#32;jawe#@#phac, phae-n (Y) thave, thavee-n (W)#@#1911#@#2964#@#436#@#88;66
