apparence, aspect, photo ;hanus hanuu-n (2) ;hanue hanuu-n ;hanu. hanuu-n ;hanu, hanuu-n ;hanur hanuu-n 
son front ;gaadaa~n ;gaadaa-n thalaa-n ;gaadaa-n thalaa-n ;gaadaa-n thalaa-n ;gaadek. gaadexe-n jere-bwa-n 
sa tempe ;thalaa-n kalemaa-n (T) karemaa-n (0) ;;;karemaa-n ;karemae-n 
sa face, son visage ;;karemaa-n ;maa-n 
oreille, son oreille ;jeenar jeena-n ;jeena, jeene-n ;jeena. jeene-n ;jeena, jeene-n ;jeena. jeene-n 
son pavillon d'oreille ;doon- jeena-n ;doon-jeene-n ;doon-jeene-n ;doon-jeene-n ;doon-jeene-n 
son trou d'oreille ;hwan- jeena-n ;hwan-jeene-n ;hwan- jeene-n ;hwan-jeene-n coon-jeene-n ;hwan-jeene-n coon-jeene-n 
son lobe d'oreille ;coon-jeena-n (T) hon-jeena-n (0) ;coon- jeene-n ;coon-jeene-n 
son arcade sourciliére ;gan-thamaa-n ;gan-thamaa-n ;bwan-tnan-maa-n ;bwan-tnamaa-n ;bwan-thivaen (Y) bwaxire-thivae-n (W) 
oeil, son oeil ;thamaa-n ;thamaa-n ;tnan-maa-n ;tnamaa~n ;thivae-n 
pupille de l'oeil ;kahyuk Le thamaa-n (7) ;hyan-thamaa-n ;;pwen-dadeng ;pwen-dadeng 
blanc de l'oeil ;hulo le thamaa-n (T) ;hulo le thamaa-n ;hna-pu lo ;hna-pulo ;hna-pulo 
iris ;vhiing le thamaa-n (T) ;vhiing le thamaa-n ;hna-nyuup ;hna-phom ;hna-phom 
globe de l'oeil ;vhiye-thamaa-n (7) ;vhiye-thamaa-n ;fiye-tnamaa-n ;fiye-tnamaa-n ;buuve-thivaen 
son nez ;hwadi-n ;hwadi-n ;hwadi-n ;hwadi-n ;hwadi-n 
les ailes de son nez ;diiboon-hwadi-n (2) ;diiboon-hwadi-n ;diiboon-hwadi-n ;diiboon-hwadi-n ;diboloon-hwadi-n (¥) diiboon-hwadi-n (Ww) 
sa joue ;poaa-n ;poaa-n ;pwaawaa-n ;pwawaa-n ;pwaa-n . 
sa bouche ;hwa-n ;hwa-n ;hwa-n ;hwa-n ;hwa-n 
ses lévres ;ciin-hwa-n ;ciin-hwa-n ;doon-hwa-n ;ciin-hwa-n ;doon-hwa-n 
sa dent ;pae-hwa-n ;paa-hwa-n ;paye-hwa-n ;paioa-n ;payoa-n 
bréche-dent ;fwado ;fuado ;hwado ;hwado ;hwado 
sa langue ;kuvehma-n ;kuehma-n ;kuvehma-n ;kuvema-n ;kuvema-n 
sa luette ;ka-cila le noo-n (Tf) ;ka-cila le noo-n ;ka-cila Le noo-n ;ka-cila le noo-n ;ka-cila le noo-n 
son gosier, sa gorge ;thoo-n (T) ;thoon-goo-n ;;thoon-goo-n ;thoo-n (Y) thoon-goo-n (Ww) 
sa pomme d'Adam ;waan-uva © noo-n ;(T) w&a-noo-n ;;wWaan-uva 0 noo-n 
son menton ;pae-puhwa-n ;pae-puhwa-n ;pay e-puhwa-n ;paye-puwa-n ;paye-pua-n 
sa barbe ;puhwa-n ;puhwa-n ;puhwa-n ;puwa-n ;pua-n
son cou ;noo-n ;noo-n ;noo-n pue-noo-n ;noo-n ;noo-n 
sa nuque ;pue-noo-n ;pue-noo-n ;;puxe-noo-n v pue—noo-n ;pue-noo-n 
ventre, son ventre ;jice jia-n ;jice jie-n ;jics jie-n ;jic. jie-n ;jic. jie-n 
son dos, son envers ;dai-n ;dai-n ;dai-n ;dai-n ;jai-n 
son dos, brale (= son os) sa colonne verté- ;duu-n ;duu-n ;duu-n ;duu-n ;duu-n 
son cOté, son flanc ;jela-n ;jele-n ;jele-n ;jele-n ;jele-n 
sa hanche ;kudie-jia-n ;pwege-n ;pwege-n ;pwege-n ;pweje-n 
son sternum ;jabii-n (T) ;jabii-n ;jabii-n ;jabii-n ;jabii-n 
ses cétes ;wagee-n ;wagee-n ;wagee-n ;wagee-n ;wagee-n 
sa poitrine (torse) ;bwaanga-n ;bwaange-n ;bwaange-n ;bwaange-n ;bwaange-n 
son sein ;thi. thi-n ;thi. thi-n ;this thi-n ;this thi-n ;thi. thi-n 
son nombril ;hwan~guya-n (T) hwan-guan (0) ;hwan-guye-n ;hwan-guye-n ;hwan-guye-n ;hwan-gule-n 
son cordon ombilical ;guloo-n ;guloo-n (Tf) ;guloo-n ;guloo-n ;gute-n 
ses viscéres ;hyan- jia-n ;hyan-jie-n ;hyan-jie-n ;hyan-jie-n ;hyan-jie-n 
intestins, ses intestins ;hootha-n ;hoorhé-n ;hootne-n ;hoona,s hoone-n ;hoonga, hoonge-n 
son coeur ;nyima-n ;nyame-n ;nyame-n ;nyame-n ;kao-n 
ses poumons ;ngan-suhmaa-n ;ngen-suhmaa-n ;ngen-suhmaa-n ;ngen-sumaa-n ;phacr phae-n (Y) thave, thavee-n (W) 
son estomac ;gupae-tha-n ;guvae-thé-n ;gupaye~tne-n ;guvaye-tne-n ;paye-nge-n 
le creux de son estomac ;hwan-udi-n ;hwan-udi-n ;hwan-udi-n ;hwan-udi-n ;hwan-udi-n 
foie, son foie ;kec, kei-n ;kec, kei-n ;kec, kei-n ;kecs kei-n ;kec, kei-n 
bile, sa bile ;khaalii-n ;khaalii-n ;mwan-gi laa-n ;knaalii-n ;kh&&lii-n (Y) knaalii-n (W) 
reins ;doon-wanit (0) ;;doon-booc 
ses fesses ;puo-ho~n ;puo-ho-n ;pue-ho~-n ;puxe-o-n ~ pue-o-n ;pue-he-n 
son derriére, bas du dos ;vaia-n ;;vaie-n 
anus ;;hwan-purhé-n ;;hwan-tne-n/ dilube ;hwan-khé-n (Y) hwan-kne-n (i) 
son péritoine ;seboo-n (T) ;seboo-n ;seboo-n ;seboo-n ;seboo-n
vessie, sa vessie ;phuup, phuuva-n ;fuup. fuuve-n gan-hyeene-n ;ngen-phuuve-n kaji-n ;phuupe phuue-n kaji-n ;phuup. phuue-n kaji-n 
son pubis ;gan-hyeena-n ;co, coo-n ;CO, coo-n ;COs coo-n ;CO, coo-n 
son pénis ;cor coo-n (T) pwa-n (0) 
ses testicules ;vhii-n (2) pwita-n (0) ;dabe-n ;pwite-n ;dabe-n/ fiye-dabe-n ;phii-n 
sexe de la femme, son sexe ;cana-n ;cane-n hale-n ;canek, cane-n ;canek, cane~n hale-n ;cane-n hale-n (Ww) 
son sexe (d'une femme) ;hala-n ;;;kunos kunoo-n ;kuroo-n 
clitoris, son clitoris ;coon-cana-n (T) ;kuro ;kutnoo-n 
son épaule ;pue-hi-n ;pue-hi-n ;pue-hi-n ;puxe-i-n% pue-i-n ;pue~hi-n 
son épaule (prés du cou) ;;;buu-n ;;buu-n 
son omoplate ;piin-pue-hi-n ;piin-pue-hi-n ;piin-pue-hi-n ;piin-pue-i-n ;boxau-n 
sa clavicule ;;gala 0 noo-n ;gala o noo-n ;gala o noo-n ;gala xe noo-n 
son aisselle ;habee-n ;habee-n ;habee-n ;habee-n ;habee-n 
son coude ;jipale-hi-n (T) ;jivare-hi-n ;jipare-hi-n ;jivare-hi-n ;jivare-hi-n 
pli, creux du coude ;hwajitaan-hi-n ;hwan-jiraan-hi-n ;hwajitaan-hi-n ;hwajiraan-hi-n ;hwaj iraan-hi-n 
son bras, sa main ;hi-n ;hi-n ;hi-n ;hi-n ;hi-n 
son poignet ;hule-hi-n (7) ;hure-hi-n ;hure-hi-n ;hure-hi-n ;boyixe-hi-n (Y) hure-hi-n (W) 
sa paume ;kale-hi-n (7) kare-hi-n (0) ;kare-hi-n ;kare-hi-n ;kare-hi-n~ kare-i-n ;kare-hi-n 
le dessus de sa main ;qgan-kate-hi-n gan-kare-hi-n (T) (0) ;gan-kare-hi-n ;bwan-kare-hi-n ;bwan~kare-i-n ;bwan-kare-hi-n 
son poing ;daamuun-hi-n (2) ;daamuun-hi-n ;daamuu-n hi-n ;daamuun-hi-n ;jaamuun-hi-n 
son biceps ;pwan-pijing (TP) ;pan-hi-n ;;pan-hi-n ;pan-hi-n 
doigt, son doigt ;gan-hi-n ;gan-hi-n ;gan-hi-n ;gan-hi-n ;gadoon-hi-n 
sa phalange ;bale-gan-hi-n (7) ;bare-gan-hi-n ;bare-gan-hi-n ;bare-gan-hi-n ;bare-gadoon-hi-n 
son ongle ;piin-hi-n ;piin-hi-n ;piin-hi-n ;piin-hi-n ;piin-hi-n 
pouce ;be-pwadi aman ;gan-hi hun ;ba-pwadi hyo ;ba-pwadi hyo ;gadoon-hi hac (Y) ba~pwaji hyo (W) 
index ;be-tha-hini (7) ;galahdeen ;ngalave-hie ;galave-hie ;galave~hde
médius ;khaéva (7) gahtia duu-n (0) ;khddva ;knova ;knoova ;knooa (W) 
annulaire ;ka~po-kuc (7) ;koi yale-n ("pas de nom") ;;;baba (Ww) 
auriculaire, petit doigt ;thivaan-hi-n (7) ;thivaan-hi-n ;;thiaan-hi ;thiriaan-hi 
sa jambe, son pied ;ho-n ;ho-n ;ho-n ;ho-n ;he-n 
sa cuisse ;paa-n ;paa-n ;paa-n ;paa-n ;paa-n 
son aine, son entre-jambes ;kawala-n ;kawale-n ;kawale-n ;kawale-n ;kaale-n 
ganglion ;khany ;khany ;knany ;knany ;kh&ny (Y) _knany (W) 
genou, son genou ;gan-jili-n ;gan-jili-n ;gan-jit. gan-jili-n ;gan-jit.s gan-jili-n ;gajili-n 
jarret, pli du genou ;hwa jitaan-ho-n ;hwan-~jiraan-ho-n ;hwajitaan-ho-n ;hw j iraan-ho-n ;hw4jiraan-he-n 
tibia ;duun-ho-n ;duun-ho-n ;duun-ho-n/ thaceen ;duun-ho-n/ thayeen ;thayeen 
os de la cheville ;weman cilek ;wemen ci lek ;wemen cilek ;wemen cilek ;wemen cilek 
son mollet ;pwan-pi jing o ho-n ;pwen-pijing o ho-n ;pwen-pijing o ho-n ;pwen-pijing o ho-n ;pwen~pijing xe he-n 
sa plante de pied ;kale-ho-n (Tf) kare-ho-n (0) ;kare-ho-n ;kare-ho-n ;kare-ho-nv kare-o-n ;kare~he-n 
le dessus de son pied ;gan-kale-ho-n (T) gan-kare-ho-n (0) ;gan~-kare-ho-n ;bwan-kare~ho-n ;bwan-kare-ho-n ;bwan-kare-he-n 
son talon ;gupae-ho-n ;guvae-ho-n ;gupaye-ho-n ;guvaye-ho-n ;guvaye-he-n
il a faim ;mada-n ;made-n ;nyame-n knuduk made-n ;nyame-n knuduk made-n ;made-n | kao-n khGduk (Y) kao-n knuduk (W) 
il a soif ;nyima-n khiduk (7) malu (0) ;nyame-n khiduk 
sa salive ;we-hwa-n ;we-hwa-n ;we-hwa-n/ wewee-n tepmi ;wewee-n temi ;wewee-n cevi/ hneme (Y) cevi 
avaler ;tepht/ nephéi (7) ;tevht ;;;(WwW) 
s'étrangler ;telethoo-n (T) ;telerhoo-n ;teletnoo-n ;telenoo-n ;celeroo-n suma 
cracher ;suhma ;suhma ;suhma ;suma modit ;modit 
avoir le hoquet ;modit (2) hmotit (0) ;hmorhit ;modit 
roter ;kapook (T) kapoop (0) ;kaoop ;kapook ;kavook ;kavook 
se racler la gorge ;khaak (7) kha (0} ;;khaaok 
vomir ;tda ;ida ;Gda ;ada cnie ;tja cié 
éternuer ;sihé (T) ;sihé ;cnihe ;hnit ;hnit 
se moucher ;hnit ;hnit ;hnit ;hnar hnaa-n ;hnas hnaa-n 
morve, substances glaireuses ;hna, hnau-n (2) ;hna, hnaa-n hnahnas hnahnaa-n ;hnae hnaa-n hnahnas hnahnaa-n ;hnana, hnanaa-n ;hnyana 
souffle, son souffle ;hnahnar hnahnaa-n 
respirer ;po-hyeen hnahna (2) ivu huvi (P) ;po-hyeen hnahna ;po-hyeen hnahna hivu ;po-hyeen hnana uvi ;wi po-hyeen hnyana 
souffler ;(0) uvi 
bailler ;ohaem ;ohaem ;ohaem hmwet, hmwele ek ;oahem hmwele ek/ khoe ek ;oahem khoe/ mwovo (Y) mwovo (W) 
&tre fatigué, il est fatigué ;hmwet, hmwele nyang ;hmwet, hmwele yek 
se reposer dormir ;tavhe hmwet (7) khdhu Leeng ;tavhe hmwet khduLeeng ;tafe hmwet knohuleeng ;tae hmwet/ tae wi knouleeng ;kh@ixa (Y) kneuleeng (W) tae wi 
ronfler ;hmwahuut ;hmwahuut ;huput ;huvut ;huvut 
réve, son réve ;nep, neu-n ;nep. neu-n ;hanep. haneu-n ;nep, neu-n ;nep, neu-n 
réve éveillé ;;madoonuva ;madoonuva ;madoonua ;madoonua 
somnambu le ;hmwaang (7) ;hmwaang ;hmwaang ;hmwaang ;hmaak (Y)
s'agiter en dormant ;weecet (T) ;weeyet ;weecet caget ;weeyet ;weeyet 
s'éveiller, se lever ;waada (T) ;waada/ caget ;;caget ;cabwet 
réveiller quelqu'un ;hue (sang) (7) ;hue Cyek) ;faci (ek) ;fayi (ek) ;pwia (ek) 
se lever t6t le matin ;;;knoo-caget ;knoo~yaget ;khé@é-yabwet (Y) knee-yabwet (W) 
rire ;ngaan ;ngaan ;ngaan ;ngaan ;ngaan 
pleurer ;hye ;hye ;hye ;hye ;hye 
pleurnicher (bébé) ;thu-hawak (7) ;thu-haok ;thu-hyaok ;thuaok ;thu-hyaok (Y) thaaok (W) 
crier ;bua ;bua ;bua ;bua ;bua 
crier (aigu) ;khaak (7) ;khaak ;knaak ;knaak ;khaak (¥) knaak (W) 
avoir froid ;xhim ;khim ;xhim ;khim ;cauk (Y) hwajo (W) 
avoir chaud ;khiut (2) ;khiut ;hinu ;hinu ;hinu 
suer ;thééwan ;thééwan ;tneewan ;po-hinu ;po-hinu 
odeur ;gon ;gon ;gon ;gon ;gon 
sentir ;goni (7) ;;;;goni 
son odeur ;gomaa-n (7) ;gomaa-n ;gomaa~n ;gomaa-n ;gomae-n 
son relent ;thaaya-n (7) 
puer ;gouc (T) ;gouc ;go-hyen ;gouc ;gouc 
sentir bon ;koha gon (T) ;kohya gon ;go koha ;go koa ;go kop 
pisser ;nyima ;nyima ;nyima ;nyima ;nyima 
urine ;Le nyima (7) we fiit ;we le nyima ;we le nyima ;we Le nyima ;we le nyima 
péter ;;fiit ;siit ;phiip ;phiip 
déféquer ;paat ;paat ;hnatna ;hnana ;hnaxa 
crotte, sa crotte ;tha, tha-n ;tha. thé-n ;tna, tne-n ;tna, tne-n ;kh&e kh@-n (Y) knas kne-n (W) 
se torcher le derriére (en le frottant par terre) ;yeelep (7) ;yeelep ;yeelep ;yeelep ;yeelep 
faire l'amour ;yoop (T) ;yoop ;yoop ;yoop/ hec/ pe-pwenu ;yoop noja (Y) Aani/ noja 
voir, regarder ;kali ;hwene ;hwene ;hwene ;(Ww) 
regarder, observer ;kalo (2) ;kalo ;kalo ;kalo ;kalo
entendre, sentir, ressentir ;tena gun. guna-n ;tena guns gune-n ;tena gun, gune-n ;tena guns gune-n ;tena gun. gune-n 
bruit, grondement ;det, dela-n ;det. dele-n ;dete dele-n ;det, dele-n ;det, dele-n 
bruit, vacarme ;po det/ po-himan ;po-det/ po-sivi ;pmwa det/ pmwa caba ;po-det/ po-caba ;po-det/ po-sivi (Y) po-det/ po-caba (WwW) 
détonner, éclater (avec brisure) ;bup (7) ;bup ;up ;bup ;bup 
bruit de castagnettes ;;;pada ;;pada (Y) pavada (W) 
son bruit (lointain) ;xhee-n (T) ;khee-n ;hyee-n ;hyee-n ;hyee-n
sa force ;wii-n (fT) ;wif-n ;wii-n ;wti-n ;wti-n 
fort ;thi Lihmwet/ pwa wii-n (2) ;thirihmwet/ fwa wifi-n ;thirihmwet/ pmwa wii-n ;pmwa wif-n ;phwa wif-n (Y) pmwa wif-n (W) 
faible ;koi wii-n (7) ;koi wii-n ;kot wii-n ;koi wif-n ;koi wif-n 
maigre ;sapwi/ suagit ;sawi ;sapwi ;sawi ;sawi 
malade, maladie ;vhaliic dabwauk (7) ;vhaltic ;faliic ;faliic ;phaliic 
impotent, invalide ;;dabwauk ;dabwauk ;dabwauk ;dabwauk 
avoir la fiévre ;pae-pwec (T) ;hoom/ cauk ;cakuk ;caxuk ;cauk 
souffrir, endurer ;pe-tholi-aman (7) ;pe-urogi/ pe-tholi ;suni xhiit ;pe-tholi-aman ;huyoni 
gémir ;thithiba (7) ;thiriba ;;thiriba 
mou, endolori ;hmwap (7) uten le thamaa-n (7) ;hmwap ;;hmwap ;hmora 
évanoui ;;uren le thamaa-n ;uten le tnan-maa-n/ makibwan ;uren le tnamaa-n/ maxibwan ;uren le thivae-n/ maxibwan (épilepste) 
moribond, dans le coma ;cava (T) ;cava ;cafa ;cava ;caa 
crampe 4 la jambe ;hon=khitk (7) thabo (1) ;hon-heak ;hon-kniik ;hon-kniik ;hen-hyaek galaac 
avoir des fourmis, engourdi ;;galaak ;galaac ;galaak 
courbature (fatigue muscu- laire) ;;hnuk ;hnuk ;hnuk ;hnuk 
paralysé, serré, crispé ;bwang (T) ;bwang ;bwang ;bwang ;bwang 
recroquevillé, atrophié (membre paralysé) ;hnyiwaak (7) ;hny iwaak ;hnyiwaak ;hny iwdak 
rhumatisme ;vhalii bocit (7) ;vhalii boyit ;falii bocit ;falii boyit ;phalii boyit 
aveugle ;koi thamaa-n ;koi thamaa-n ;bwi/ koi tnan-maa-n ;bwi/ koi tnamaa-n ;bwi/ koi thivae-n (Y) bwi/ baba/ koi thivae-n 
borgne ;heec thamaa-n (T) haala (0) ;heec thamaa-n ;;heec tnamaa-n ;siic thivae-n (Y) 
muet ;hom himan (7) boje (0) ;hom ;hom ;hom ;hom 
sourd ;;himen ;himen ;himen ;himen
boiter (pied bot) ;;thip ;tuk thip ;tuk thip ;tuk thip 
boiter ;thip ;higuk ;higuk ;higuk ;higuk 
enflé, gonflé ;higuk ;;hyen ;hyen ;hyen 
la gratte ;hyen ;hyen hmava ;hmapa ;hmava ;hmava/ magec 
démanger ;hmapa ;;yawi ;yawi ;yaxi . 
se gratter ;yawi ;yawi ;;ku-hmava/ ku-stim ;ku-magec/ kuveleric 
couvert de bobos, d'ulcéres ;ku-hmapa/ ku-siim/ ku-phwét (7) ;ku-hmava/ ku-siim/ ku-hwak ;ku-hmapa 
peau irritée par les brous- sailles, les plantes urti- cantes ;hmadao (T) ;hmadaak ;hmadao ;hmadawe ;hmadao [ hmadaa ] 
croites sur la téte des bébés ;siim (T) ;siim ;many ;many fenem ;thuuc 
champignons sur la peau ;vhetham (7) ;vherhém ;fetnem ;thic 
verrue ;;thamaa-n nuk 
tachetée, colorée, marbrée (peau, feuille) ;;;;hlangen ;hlangen 
muguet (boutons sur la lan- gue des bébés) ;thap (T) ;thap ;thap ;thap ;thap 
varicelle furoncle ;pwan-jarulen (fT) wahlom (7) ;wahlom/ hmwabwen ;wahlom ;walom ;watom 
bouton de fiévre ;thikulook (1) ;thiulook ;thiku look ;thixulook ;thixulook 
abcés ;;;hipalovic ;hivaloi ;hialoi (Y) 
acné juvénile ;;hmura ;hitna ;houra ;hmura 
chancre ;tonga ;tonga ;tonga ;tonga ;tonga 
lépre ;katia ;katia ;kathia ;katia ;katia 
éléphantiasis ;kho ;kho ;kho ;kho ;kho 
cicatrice, sa cicatrice ;kavi-n (2) ;kavi-n ;kavi-n ;kave-amanr kavi-n ;hmane~n 
cicatrisé ;;;patek ;parek 
couler (sang) ;tuut kutaa-n (Tf) ;tuut kuraa-n ;tuut kutaa-n ;tuut kuraa-n ;cuut kuraa-n 
avoir la colique ;tuut we le jia-n (7) ;tuut we le jie-n ;tuut we le jie-n ;tuut we le jie-n ;cuut we le jie-n 
constipé ;hyam §(T) ;hyam ;hyam ;hyam ;hyam 
bave ;thavayuk ;thavayuk ;thavayuk ;thavayuk ;thaayuk (Y) thaauk (W) 
qui dépérit, tuberculeux (= fané) ;;biny/ mabiny ;biny/ mabiny ;biny/ mabiny ;biny/ mabiny
tousser ;pup ;pup ;pup ;pup ;pup 
médicament ;hyatik ;hyarik ;hyatik ;hyarik ;hyartk- 
aller cueillir des plantes 4 vertus magiques ;;hen po-hyarik ;caap ;caap ;caap 
drogues, plantes médicina- les, simples ;baup (Tf) ;baup ;baup ;baup ;baup 
soigner (ex. une coupure) ;;civa ;civa ;civa ~ cia ;cia 
inciser (= saigner un bois, castrer le bétail) ;patie ;parie ;patie ;parie 
opérer, couper ;hyei ;hyei ;hyei ;hyei ;hyei 
crachoter des feuilles médicinales ;xhuli (aman) (7) ;khuli Caman) ;xhult Caman) ;khuli (aman) ;khuli Caman) 
frotter (avec des plantes) ;;thai Caman) ;thai (aman) ;thai (aman) 
son effet, son résultat (médicament) ;;hamwe-n ;hawé-n ;hamwen ;hamwe-n 
prescription médicale, régime, interdits alimentaires ;hitoo-n (7) ;hiroo-n ;hitoo-n ;hiroo-n ;hiroo-n
nu ;pae-aman/ koi juu-n ;pae-aman/ koi juu-n ;pay e-aman pmwa mweeng ;paye-aman/ koi juu-n po-mweeng ;pain/ koi juu-n po-mweeng 
s'habiller, se vétir ;po-mweeng (T) ;po-mweeng ;;pavang 
se préparer ;papang (T) tuut thé-n (2) ;pavang ;papang tuut tne-n ;pavang tuut le knau-n ;cuut Le digu-n 
enfiler (un vétement) ;tuut le khau-n ;;;hwa juu-n 
enfiler (un jupon) ;hwa juu-n (2) ;hwa juu-n ;hwa juu-n ;hwa juu-n knau-n (=sa natte) ;digu-n 
ses vétements ;deu-n (T) ;khau-n (= sa natte) ;deu-n ;deve-aman ;dive-aman 
vétements (modernes) ;deve-aman (T) ;deve-aman ;deve-aman naamuu-n ;naamuu-n ;naamuu-n 
ses affaires ;naamuu-n ;naamuu-n ;juu-n ;juu-n ;juu-n 
sa jupe, son jupon ;juu-n ;juu-n mada ;mada ;mada ;mada 
jupon (moderne) ;mada (T) jakhi (T) ;jahi ;jakni ;jangi 
bagayou ;thiwa ;thiwa ;thiwa ;thiwa imwaano ;thiwa 
étoffe moderne, "manou" ;imwaano (T) ;imwaano ;cii-n danu 
couverture ;hyakhén ;hyahén ;hyaknen ;hyangen ;hyabwen (Y) hyawen (W) 
plissé, froissé ceinture, sa ceinture ;wan-jic (7) ;wa le jie-n ;wan-jie-n ;wan- jie-n ;wén-jie-n 
ceinture de danse ;;wan-bwahnu ;wan-bwanu ;wan-bwanu 
son brassard ;wanchi-n (T) ;wan-hi-n ;wan-hi-n ;wan-hi-n ;wén-hi-n 
lien en bourao au genou ;wan-gan-jili-n (7) ;wan-gan- jili-n ;wan-gan- jilti-n ;wan-gan- jili-n ;wén-gajili-n 
son turban ;wan-ga-n (T) ;wan-ga-n ;wan-bwa-n ;wan-bwa-n ;wén-bwa-n 
coiffure (en général) (chapeau, turban) ;phaup ;faup ;phaup ;phaup ;mweeng (Y) hyavuc (W) 
son chapeau ;hyau-n (7) ;hyau-n ;hyau-n ;hyau-n ;mMweenge-n (Y) hyaa-n (W) 
sa parure, sa coiffure (en parlant du chef) ;mweenga-n (7) ;mweenge-n ;mweenge-n ;mweenge-n 
son aigrette ;tho. thoo-n ;tho, thoo-n ;thos thoo-n ;tho, thoo-n ;tho, thoo-n
chapeau trés haut (ancienne coiffure) ;mwakau ;mwakau ;mwakau/ bwa-hava ;;mwakau (Y) 
coiffure ancienne ;;wenoweno ;wenoweno ;wenoweno ;gaodi 
mettre sur sa téte, mettre (un chapeau) ;patage (phaup) (T) ;parage (faup) ;patage (phaup) ;parage (phaup) ;na-dii paragoi (mweeng) (Y) C(hyavuc) (W) 
mettre un turban ;thai (phaup) (2) ;thai (faup) ;thai (phaup) ;thai (phaup) ;thai Chyavuc) (W) 
étoffe en banian ;thilic (2) ;thilic ;;thilic ;wagi 
natte, manteau de pluie (terme en désuétude) ;jawan ;Jawan ;jawan 
collier, pendentif, ;pino, pinoo-n ;pino, pinoo-n ;pinor pinoo-n ;pinos pinoo-n ;pino, pinoo-n 
sorte de pendentif ;meciwe/ pino meciwe ;meiwe/ duuve-meiwe ;meciwe/pino meciwe ;meciwe/ pino meciwe ;meyiwe/pino meyiwe 
bracelet, son bracelet ;gukut ;guut ;gukut, gukule-n ;guxut, guxule-n ;guxuts guxule~n 
sale ;geek (fT) ;geek ;geek ;geek ;geek 
propre (quelqu'un) ;koi geek ne nyang (I) ;koi geek ne yek ;koi geek ne-ek ;koi geek ne-ek 
propre (quelque chose) ;koi geek tha-n (7) ;koi geek rhé-n ;koi geek tne-n ;koi geek ne-n 
rincer, laver (vaisselle) ;nyage C(helam) (7) ;nyage C(helam)> ;nyage (helam> ;nyage (helam) ;nyabwe (gac) 
laver le linge (en le tapant) faire la lessive ;;thare-aman ;;thare-aman ;nyabwe-aman 
frotter, gratter (cul de marmite) ;;yuwari ;yuati ;yuari ;yuari 
se baigner ;wan (2) ;wan ;wan ;wan ;wan 
baigner quelqu'un ;vhe-wani sang (2) ;vha-wani-ek ;fe-wani-ek ;hwa-wani-ek ;phaani 
se chauffer au soleil (pour se sécher) ;hi-hnegat (2) ;hi-hnegat ;hinegat ;hinegat ;hinegat 
6taler au soleil pour sécher ;haleei (Tf) ;haleei ;haleei ;haleei ;haleei 
